assetID,direction
295970,Querschnitt
295971,Nordost nach Südwest
295972,Südwest nach Nordost
295910,Querschnitt
295911,Nordwest nach Südost
295912,Südost nach Nordwest
7434930,Querschnitt
7434932,Südwest nach Nordost
6894920,Querschnitt
6894921,Nord nach Süd
6894922,Süd nach Nord
6117941,Ost nach West
269952,Südost nach Nordwest
7302960,Querschnitt
7302961,Nord nach Süd
7302962,Süd nach Nord
7197912,Südost nach Nordwest
7414960,Querschnitt
7414961,Nord nach Süd
7414962,Süd nach Nord
7433950,Querschnitt
7433951,Nordwest nach Südost
7433952,Südost nach Nordwest
6894950,Querschnitt
6894951,Nordwest nach Südost
6894952,Südost nach Nordwest
375911,Nordwest nach Südost
375942,West nach Ost
285981,Ost nach West
7430911,Nordwest nach Südost
6111922,Süd nach Nord
117932,Südwest nach Nordost
7068920,Querschnitt
7068921,Nord nach Süd
7068922,Süd nach Nord
6779940,Querschnitt
6779941,Ost nach West
6779942,West nach Ost
7297940,Querschnitt
7297941,Ost nach West
7297942,West nach Ost
286940,Querschnitt
286941,Ost nach West
286942,West nach Ost
6716940,Querschnitt
6716941,Ost nach West
6716942,West nach Ost
7433911,Nordwest nach Südost
285941,Ost nach West
311951,Nordwest nach Südost
311911,Nordwest nach Südost
7433970,Querschnitt
7433971,Nordost nach Südwest
7433972,Südwest nach Nordost
7462910,Querschnitt
7462911,Nordwest nach Südost
7462912,Südost nach Nordwest
7434931,Nordost nach Südwest
6117940,Querschnitt
6117942,West nach Ost
7197931,Nordost nach Südwest
2980,Querschnitt
2981,Ost nach West
2982,West nach Ost
375952,Südost nach Nordwest
297981,Ost nach West
7432910,Querschnitt
7432911,Nordwest nach Südost
7432912,Südost nach Nordwest
7436960,Querschnitt
7436961,Nord nach Süd
7436962,Süd nach Nord
6058932,Südwest nach Nordost
6195921,Nord nach Süd
7432970,Querschnitt
7432971,Nordost nach Südwest
7432972,Südwest nach Nordost
375950,Querschnitt
375951,Nordwest nach Südost
6408960,Querschnitt
6408961,Nord nach Süd
6408962,Süd nach Nord
6655960,Querschnitt
6655961,Nord nach Süd
6655962,Süd nach Nord
297980,Querschnitt
297982,West nach Ost
109931,Nordost nach Südwest
7435920,Querschnitt
7435921,Nord nach Süd
7435922,Süd nach Nord
6058930,Querschnitt
6058931,Nordost nach Südwest
6195920,Querschnitt
6195922,Süd nach Nord
7462971,Nordost nach Südwest
6125982,West nach Ost
375940,Querschnitt
375941,Ost nach West
7431960,Querschnitt
7431961,Nord nach Süd
7431962,Süd nach Nord
6370940,Querschnitt
6370941,Ost nach West
6370942,West nach Ost
6085970,Querschnitt
6085971,Nordost nach Südwest
6085972,Südwest nach Nordost
311910,Querschnitt
211950,Querschnitt
211952,Südost nach Nordwest
285940,Querschnitt
285942,West nach Ost
269950,Querschnitt
269951,Nordwest nach Südost
311950,Querschnitt
311952,Südost nach Nordwest
211951,Nordwest nach Südost
311912,Südost nach Nordwest
322920,Querschnitt
322921,Nord nach Süd
322922,Süd nach Nord
7435962,Süd nach Nord
6283961,Nord nach Süd
7435941,Ost nach West
7462970,Querschnitt
7462972,Südwest nach Nordost
375910,Querschnitt
375912,Südost nach Nordwest
7241940,Querschnitt
7241941,Ost nach West
7241942,West nach Ost
7241920,Querschnitt
7241921,Nord nach Süd
7241922,Süd nach Nord
7241980,Querschnitt
7241981,Ost nach West
7241982,West nach Ost
7241960,Querschnitt
7241961,Nord nach Süd
7241962,Süd nach Nord
6111920,Querschnitt
6111921,Nord nach Süd
117930,Querschnitt
117931,Nordost nach Südwest
7433910,Querschnitt
7433912,Südost nach Nordwest
6125980,Querschnitt
6125981,Ost nach West
7430910,Querschnitt
7430912,Südost nach Nordwest
3920,Querschnitt
3921,Nord nach Süd
3922,Süd nach Nord
7435960,Querschnitt
7435961,Nord nach Süd
7435940,Querschnitt
7435942,West nach Ost
109930,Querschnitt
109932,Südwest nach Nordost
